startTime,call,completionItemsCount,isComplete,endTime,duration
1574600381289,fabric.BaseBrush.,49,false,1574600382228,939
1574600382229,fabric.util.createClass.,49,false,1574600382271,42
1574600382271,fabric.util.,49,false,1574600382279,8
1574600382279,this.shadow.,50,false,1574600382303,24
1574600382304,fabric.Shadow.,50,false,1574600382313,9
1574600382313,this.canvas.contextTop.,50,false,1574600382323,10
1574600382323,this.canvas.,50,false,1574600382331,8
1574600382332,ctx.strokeStyle.,49,false,1574600382340,8
1574600382340,this.color.,50,false,1574600382348,8
1574600382349,ctx.lineWidth.,49,false,1574600382361,12
1574600382361,this.width.,50,false,1574600382367,6
1574600382367,ctx.lineCap.,49,false,1574600382374,7
1574600382374,this.strokeLineCap.,50,false,1574600382381,7
1574600382381,ctx.miterLimit.,49,false,1574600382386,5
1574600382387,this.strokeMiterLimit.,50,false,1574600382394,7
1574600382394,ctx.lineJoin.,49,false,1574600382401,7
1574600382401,this.strokeLineJoin.,50,false,1574600382407,6
1574600382407,fabric.StaticCanvas.supports.,49,false,1574600382413,6
1574600382413,fabric.StaticCanvas.,49,false,1574600382420,7
1574600382420,ctx.setLineDash.,49,false,1574600382427,7
1574600382427,this.strokeDashArray.,50,false,1574600382432,5
1574600382432,this.canvas.viewportTransform.,49,false,1574600382438,6
1574600382438,this.canvas.,50,false,1574600382443,5
1574600382443,ctx.save.,49,false,1574600382447,4
1574600382447,ctx.transform.,49,false,1574600382452,5
1574600382452,this.shadow.,50,false,1574600382458,6
1574600382458,this.canvas.contextTop.,50,false,1574600382466,8
1574600382467,this.canvas.,50,false,1574600382485,18
1574600382485,this.canvas.getZoom.,49,false,1574600382490,5
1574600382491,this.canvas.,50,false,1574600382498,7
1574600382498,ctx.shadowColor.,50,false,1574600382503,5
1574600382503,this.shadow.color.,50,false,1574600382509,6
1574600382510,this.shadow.,50,false,1574600382515,5
1574600382515,ctx.shadowBlur.,50,false,1574600382519,4
1574600382520,this.shadow.blur.,49,false,1574600382524,4
1574600382524,this.shadow.,50,false,1574600382528,4
1574600382528,ctx.shadowOffsetX.,50,false,1574600382531,3
1574600382532,this.shadow.offsetX.,49,false,1574600382536,4
1574600382536,this.shadow.,50,false,1574600382541,5
1574600382541,ctx.shadowOffsetY.,50,false,1574600382545,4
1574600382545,this.shadow.offsetY.,49,false,1574600382550,5
1574600382550,this.shadow.,50,false,1574600382554,4
1574600382554,fabric.Color.,49,false,1574600382559,5
1574600382559,this.color.,50,false,1574600382563,4
1574600382563,color.getAlpha.,49,false,1574600382569,6
1574600382569,this.shadow.,50,false,1574600382574,5
1574600382575,this.canvas.contextTop.,50,false,1574600382580,5
1574600382581,this.canvas.,50,false,1574600382585,4
1574600382585,ctx.shadowColor.,50,false,1574600382595,10
1574600382596,ctx.shadowBlur.,50,false,1574600382604,8
1574600382604,ctx.shadowOffsetX.,50,false,1574600382608,4
1574600382626,fabric.CircleBrush.,70,false,1574600382657,31
1574600382658,fabric.util.createClass.,69,false,1574600382668,10
1574600382668,fabric.util.,70,false,1574600382674,6
1574600382675,fabric.BaseBrush.,69,false,1574600382686,11
1574600382686,this.canvas.,70,false,1574600382697,11
1574600382698,this.points.,70,false,1574600382704,6
1574600382704,this.addPoint.,70,false,1574600382716,12
1574600382716,this.canvas.contextTop.,70,false,1574600382724,8
