startTime,call,file,response,definedInSameFile,endTime,duration
1574673033213,fabric.BaseBrush.,base_brush.class.js,[],true,1574673034059,846
1574673034059,fabric.util.createClass.,base_brush.class.js,[],true,1574673034095,36
1574673034095,fabric.util.,base_brush.class.js,[],true,1574673034098,3
1574673034098,this.shadow.,base_brush.class.js,"[{""uri"":""file:///home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/brushes/base_brush.class.js"",""range"":{""start"":{""line"":65,""character"":9},""end"":{""line"":65,""character"":15}}}]",true,1574673034105,7
1574673034105,fabric.Shadow.,base_brush.class.js,[],true,1574673034108,3
1574673034108,this.canvas.contextTop.,base_brush.class.js,[],true,1574673034120,12
1574673034120,this.canvas.,base_brush.class.js,[],true,1574673034122,2
1574673034122,ctx.strokeStyle.,base_brush.class.js,[],true,1574673034125,3
1574673034125,this.color.,base_brush.class.js,[],true,1574673034127,2
1574673034127,ctx.lineWidth.,base_brush.class.js,[],true,1574673034130,3
1574673034130,this.width.,base_brush.class.js,[],true,1574673034135,5
1574673034136,ctx.lineCap.,base_brush.class.js,[],true,1574673034142,6
1574673034142,this.strokeLineCap.,base_brush.class.js,[],true,1574673034144,2
1574673034144,ctx.miterLimit.,base_brush.class.js,[],true,1574673034145,1
1574673034146,this.strokeMiterLimit.,base_brush.class.js,[],true,1574673034147,1
1574673034147,ctx.lineJoin.,base_brush.class.js,[],true,1574673034149,2
1574673034149,this.strokeLineJoin.,base_brush.class.js,[],true,1574673034150,1
1574673034151,fabric.StaticCanvas.supports.,base_brush.class.js,[],true,1574673034154,3
1574673034154,fabric.StaticCanvas.,base_brush.class.js,[],true,1574673034155,1
1574673034156,ctx.setLineDash.,base_brush.class.js,[],true,1574673034157,1
1574673034158,this.strokeDashArray.,base_brush.class.js,[],true,1574673034159,1
1574673034159,this.canvas.viewportTransform.,base_brush.class.js,[],true,1574673034161,2
1574673034161,this.canvas.,base_brush.class.js,[],true,1574673034162,1
1574673034163,ctx.save.,base_brush.class.js,[],true,1574673034164,1
1574673034164,ctx.transform.,base_brush.class.js,[],true,1574673034166,2
1574673034166,this.shadow.,base_brush.class.js,[],true,1574673034169,3
1574673034170,this.canvas.contextTop.,base_brush.class.js,[],true,1574673034172,2
1574673034172,this.canvas.,base_brush.class.js,[],true,1574673034174,2
1574673034174,this.canvas.getZoom.,base_brush.class.js,[],true,1574673034176,2
1574673034176,this.canvas.,base_brush.class.js,[],true,1574673034178,2
1574673034178,ctx.shadowColor.,base_brush.class.js,[],true,1574673034180,2
1574673034180,this.shadow.color.,base_brush.class.js,[],true,1574673034182,2
1574673034182,this.shadow.,base_brush.class.js,[],true,1574673034184,2
1574673034184,ctx.shadowBlur.,base_brush.class.js,[],true,1574673034186,2
1574673034186,this.shadow.blur.,base_brush.class.js,[],true,1574673034188,2
1574673034188,this.shadow.,base_brush.class.js,[],true,1574673034189,1
1574673034190,ctx.shadowOffsetX.,base_brush.class.js,[],true,1574673034191,1
1574673034191,this.shadow.offsetX.,base_brush.class.js,[],true,1574673034193,2
1574673034193,this.shadow.,base_brush.class.js,[],true,1574673034195,2
1574673034195,ctx.shadowOffsetY.,base_brush.class.js,[],true,1574673034197,2
1574673034197,this.shadow.offsetY.,base_brush.class.js,[],true,1574673034199,2
1574673034199,this.shadow.,base_brush.class.js,[],true,1574673034201,2
1574673034201,fabric.Color.,base_brush.class.js,[],true,1574673034204,3
1574673034204,this.color.,base_brush.class.js,[],true,1574673034206,2
1574673034206,color.getAlpha.,base_brush.class.js,[],true,1574673034210,4
1574673034210,this.shadow.,base_brush.class.js,[],true,1574673034212,2
1574673034212,this.canvas.contextTop.,base_brush.class.js,[],true,1574673034213,1
1574673034213,this.canvas.,base_brush.class.js,[],true,1574673034215,2
1574673034215,ctx.shadowColor.,base_brush.class.js,[],true,1574673034219,4
1574673034220,ctx.shadowBlur.,base_brush.class.js,[],true,1574673034224,4
1574673034225,ctx.shadowOffsetX.,base_brush.class.js,[],true,1574673034226,1
1574673034234,fabric.CircleBrush.,circle_brush.class.js,[],true,1574673034248,14
1574673034249,fabric.util.createClass.,circle_brush.class.js,[],true,1574673034252,3
1574673034252,fabric.util.,circle_brush.class.js,[],true,1574673034254,2
1574673034255,fabric.BaseBrush.,circle_brush.class.js,[],true,1574673034258,3
1574673034259,this.canvas.,circle_brush.class.js,"[{""uri"":""file:///home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/brushes/circle_brush.class.js"",""range"":{""start"":{""line"":19,""character"":9},""end"":{""line"":19,""character"":15}}}]",true,1574673034266,7
1574673034266,this.points.,circle_brush.class.js,"[{""uri"":""file:///home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/brushes/circle_brush.class.js"",""range"":{""start"":{""line"":20,""character"":9},""end"":{""line"":20,""character"":15}}}]",true,1574673034269,3
1574673034269,this.addPoint.,circle_brush.class.js,[],true,1574673034272,3
1574673034272,this.canvas.contextTop.,circle_brush.class.js,[],true,1574673034274,2
1574673034275,this.canvas.,circle_brush.class.js,[],true,1574673034279,4
1574673034279,this._saveAndTransform.,circle_brush.class.js,[],true,1574673034281,2
1574673034281,this.dot.,circle_brush.class.js,[],true,1574673034283,2
1574673034283,ctx.restore.,circle_brush.class.js,[],true,1574673034286,3
1574673034286,ctx.fillStyle.,circle_brush.class.js,[],true,1574673034287,1
1574673034288,point.fill.,circle_brush.class.js,[],true,1574673034289,1
1574673034289,ctx.beginPath.,circle_brush.class.js,[],true,1574673034290,1
1574673034290,ctx.arc.,circle_brush.class.js,[],true,1574673034295,5
1574673034295,point.x.,circle_brush.class.js,[],true,1574673034301,6
1574673034301,point.y.,circle_brush.class.js,[],true,1574673034302,1
1574673034302,point.radius.,circle_brush.class.js,[],true,1574673034304,2
1574673034304,Math.PI.,circle_brush.class.js,"[{""uri"":""git://github.com/Microsoft/TypeScript?v3.0.3#lib/lib.es5.d.ts"",""range"":{""start"":{""line"":558,""character"":13},""end"":{""line"":558,""character"":15}}}]",false,1574673034310,6
1574673034311,ctx.closePath.,circle_brush.class.js,[],true,1574673034312,1
1574673034312,ctx.fill.,circle_brush.class.js,[],true,1574673034313,1
1574673034313,this.points.length.,circle_brush.class.js,[],true,1574673034315,2
1574673034315,this.points.,circle_brush.class.js,[],true,1574673034317,2
1574673034317,this.canvas.clearContext.,circle_brush.class.js,[],true,1574673034318,1
1574673034318,this.canvas.,circle_brush.class.js,[],true,1574673034319,1
1574673034320,this.canvas.contextTop.,circle_brush.class.js,[],true,1574673034321,1
1574673034321,this.canvas.,circle_brush.class.js,[],true,1574673034323,2
1574673034323,this._setShadow.,circle_brush.class.js,[],true,1574673034324,1
1574673034324,this.drawDot.,circle_brush.class.js,[],true,1574673034327,3
1574673034327,this.canvas.contextTop.,circle_brush.class.js,[],true,1574673034329,2
1574673034329,this.canvas.,circle_brush.class.js,[],true,1574673034331,2
1574673034331,this.points.,circle_brush.class.js,[],true,1574673034332,1
1574673034333,this._saveAndTransform.,circle_brush.class.js,[],true,1574673034334,1
1574673034334,points.length.,circle_brush.class.js,[],true,1574673034336,2
1574673034336,this.dot.,circle_brush.class.js,[],true,1574673034338,2
1574673034338,ctx.restore.,circle_brush.class.js,[],true,1574673034339,1
1574673034340,this.needsFullRender.,circle_brush.class.js,[],true,1574673034341,1
1574673034341,this.canvas.clearContext.,circle_brush.class.js,[],true,1574673034343,2
1574673034343,this.canvas.,circle_brush.class.js,[],true,1574673034344,1
1574673034345,this.canvas.contextTop.,circle_brush.class.js,[],true,1574673034346,1
1574673034346,this.canvas.,circle_brush.class.js,[],true,1574673034347,1
1574673034348,this.addPoint.,circle_brush.class.js,[],true,1574673034349,1
1574673034349,this._render.,circle_brush.class.js,[],true,1574673034350,1
1574673034351,this.drawDot.,circle_brush.class.js,[],true,1574673034352,1
1574673034352,this.canvas.renderOnAddRemove.,circle_brush.class.js,[],true,1574673034354,2
1574673034354,this.canvas.,circle_brush.class.js,[],true,1574673034355,1
1574673034355,this.canvas.renderOnAddRemove.,circle_brush.class.js,[],true,1574673034357,2
1574673034357,this.canvas.,circle_brush.class.js,[],true,1574673034358,1
1574673034358,this.points.length.,circle_brush.class.js,[],true,1574673034361,3
1574673034361,this.points.,circle_brush.class.js,[],true,1574673034362,1
1574673034362,this.points.,circle_brush.class.js,[],true,1574673034365,3
1574673034365,fabric.Circle.,circle_brush.class.js,[],true,1574673034385,20
1574673034385,point.radius.,circle_brush.class.js,[],true,1574673034388,3
1574673034388,point.x.,circle_brush.class.js,[],true,1574673034390,2
1574673034390,point.y.,circle_brush.class.js,[],true,1574673034391,1
1574673034391,point.fill.,circle_brush.class.js,[],true,1574673034393,2
1574673034393,this.shadow.,circle_brush.class.js,[],true,1574673034394,1
1574673034394,circle.setShadow.,circle_brush.class.js,[],true,1574673034397,3
1574673034397,this.shadow.,circle_brush.class.js,[],true,1574673034399,2
1574673034399,circles.push.,circle_brush.class.js,"[{""uri"":""git://github.com/Microsoft/TypeScript?v3.0.3#lib/lib.es5.d.ts"",""range"":{""start"":{""line"":1155,""character"":4},""end"":{""line"":1155,""character"":8}}}]",false,1574673034406,7
1574673034406,fabric.Group.,circle_brush.class.js,[],true,1574673034408,2
1574673034408,group.canvas.,circle_brush.class.js,[],true,1574673034411,3
1574673034411,this.canvas.,circle_brush.class.js,[],true,1574673034412,1
1574673034412,this.canvas.add.,circle_brush.class.js,[],true,1574673034414,2
1574673034414,this.canvas.,circle_brush.class.js,[],true,1574673034416,2
1574673034416,this.canvas.fire.,circle_brush.class.js,[],true,1574673034420,4
1574673034421,this.canvas.,circle_brush.class.js,[],true,1574673034426,5
1574673034427,this.canvas.clearContext.,circle_brush.class.js,[],true,1574673034429,2
1574673034429,this.canvas.,circle_brush.class.js,[],true,1574673034430,1
1574673034430,this.canvas.contextTop.,circle_brush.class.js,[],true,1574673034432,2
1574673034432,this.canvas.,circle_brush.class.js,[],true,1574673034433,1
1574673034433,this._resetShadow.,circle_brush.class.js,[],true,1574673034434,1
1574673034434,this.canvas.renderOnAddRemove.,circle_brush.class.js,[],true,1574673034436,2
1574673034436,this.canvas.,circle_brush.class.js,[],true,1574673034437,1
1574673034437,this.canvas.requestRenderAll.,circle_brush.class.js,[],true,1574673034438,1
