file,fileStat/total,fileStat/source,fileStat/comment,fileStat/single,fileStat/block,fileStat/mixed,fileStat/empty,fileStat/todo,fileStat/blockEmpty,executionDuration/startTime,executionDuration/endTime,duration
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/brushes/base_brush.class.js,130,49,66,0,66,1,16,0,0,1574690187295,1574690188071,245
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/brushes/circle_brush.class.js,140,84,37,0,37,1,20,0,0,1574690191285,1574690191569,284
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/brushes/pattern_brush.class.js,59,35,15,0,15,1,10,0,0,1574690195287,1574690195513,226
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/brushes/pencil_brush.class.js,292,178,91,22,69,1,24,0,0,1574690199288,1574690199532,244
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/brushes/spray_brush.class.js,215,113,66,2,64,1,37,0,0,1574690203287,1574690203528,241
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/canvas.class.js,1724,967,583,51,532,4,178,1,0,1574690207292,1574690207648,356
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/color.class.js,636,400,176,3,173,2,62,0,0,1574690211287,1574690211615,328
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/elements_parser.js,139,128,1,1,0,0,10,0,0,1574690215286,1574690215532,246
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/2d_backend.class.js,65,36,21,0,21,1,9,0,0,1574690219283,1574690219524,241
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/base_filter.class.js,362,208,127,8,119,4,31,0,0,1574690223288,1574690223537,249
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/blendcolor_filter.class.js,245,150,77,0,77,1,19,0,0,1574690227287,1574690227529,242
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/blendimage_filter.class.js,246,147,79,2,77,2,22,0,0,1574690231286,1574690231562,276
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/blur_filter.class.js,215,130,67,6,61,1,19,0,0,1574690235287,1574690235523,236
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/brightness_filter.class.js,113,42,60,0,60,1,12,0,0,1574690239287,1574690239515,228
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/colormatrix_filter.class.js,157,75,69,1,68,1,14,0,0,1574690243287,1574690243522,235
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/composed_filter.class.js,72,37,26,1,25,1,10,0,0,1574690247287,1574690247510,223
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/contrast_filter.class.js,108,44,51,0,51,1,14,0,0,1574690251284,1574690251537,253
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/convolute_filter.class.js,352,225,107,5,102,1,21,0,0,1574690255288,1574690255512,224
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/filter_boilerplate.js,111,37,63,3,60,1,12,0,0,1574690259286,1574690259500,214
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/filter_generator.js,85,59,19,0,19,1,8,0,0,1574690263287,1574690263517,230
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/gamma_filter.class.js,136,58,64,5,59,1,15,0,0,1574690267287,1574690267509,222
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/grayscale_filter.class.js,154,81,59,1,58,1,15,0,0,1574690271288,1574690271528,240
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/hue_rotation.class.js,107,39,57,0,57,1,12,0,0,1574690275287,1574690275512,225
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/invert_filter.class.js,111,45,53,0,53,1,14,0,0,1574690279287,1574690279517,230
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/noise_filter.class.js,134,56,63,0,63,1,16,0,0,1574690283287,1574690283521,234
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/pixelate_filter.class.js,137,70,51,0,51,1,17,0,0,1574690287287,1574690287524,237
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/removecolor_filter.class.js,173,85,71,0,71,1,18,0,0,1574690291284,1574690291541,257
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/resize_filter.class.js,490,318,132,3,129,1,41,0,0,1574690295288,1574690295557,269
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/saturate_filter.class.js,111,47,51,0,51,1,14,0,0,1574690299287,1574690299527,240
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/filters/webgl_backend.class.js,395,254,113,11,102,3,31,0,0,1574690303288,1574690303549,261
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/globalFabric.js,4,3,1,1,0,0,0,0,0,1574690307286,1574690307512,226
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/gradient.class.js,509,303,151,8,143,1,56,0,0,1574690311290,1574690311577,287
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/intersection.class.js,172,98,55,0,55,1,20,2,0,1574690315287,1574690315536,249
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/log.js,27,12,10,0,10,0,5,0,0,1574690319286,1574690319525,239
/home/asiewe/MEGA/HDA/SS19/Abschluss/Workspace/test/fabric.js/src/mixins/animation.mixin.js,223,142,60,0,60,2,23,0,0,1574690323288,1574690323534,246
